time,Currency,Price
2023-05-04 23:40:07.027935,BTCUSDT,28861.00000000
2023-05-04 23:40:07.247163,ETHUSDT,1875.36000000
2023-05-04 23:40:07.457214,BTCUSDT,28861.00000000
2023-05-04 23:40:07.669393,ETHUSDT,1875.23000000
2023-05-04 23:40:07.869917,BTCUSDT,28860.90000000
2023-05-04 23:40:08.077997,ETHUSDT,1875.23000000
2023-05-04 23:40:08.296252,BTCUSDT,28860.89000000
2023-05-04 23:40:08.517018,ETHUSDT,1875.23000000
2023-05-04 23:40:08.731797,BTCUSDT,28860.89000000
2023-05-04 23:40:08.948729,ETHUSDT,1875.23000000
2023-05-04 23:40:09.169258,BTCUSDT,28860.89000000
2023-05-04 23:40:09.388076,ETHUSDT,1875.22000000
2023-05-04 23:40:09.600607,BTCUSDT,28860.89000000
2023-05-04 23:40:09.820764,ETHUSDT,1875.22000000
2023-05-04 23:40:10.032884,BTCUSDT,28860.89000000
2023-05-04 23:40:10.240493,ETHUSDT,1875.22000000
2023-05-04 23:40:10.455840,BTCUSDT,28860.89000000
2023-05-04 23:40:10.669141,ETHUSDT,1875.22000000
2023-05-04 23:40:10.884289,BTCUSDT,28860.89000000
2023-05-04 23:40:11.094833,ETHUSDT,1875.22000000
2023-05-04 23:40:11.305693,BTCUSDT,28860.90000000
2023-05-04 23:40:11.521370,ETHUSDT,1875.23000000
2023-05-04 23:40:11.747045,BTCUSDT,28860.90000000
2023-05-04 23:40:11.965763,ETHUSDT,1875.23000000
2023-05-04 23:40:12.179958,BTCUSDT,28860.90000000
2023-05-04 23:40:12.406982,ETHUSDT,1875.23000000
2023-05-04 23:40:12.623227,BTCUSDT,28860.90000000
2023-05-04 23:40:12.828156,ETHUSDT,1875.23000000
2023-05-04 23:40:13.036977,BTCUSDT,28860.89000000
2023-05-04 23:40:13.247700,ETHUSDT,1875.23000000
2023-05-04 23:40:13.458907,BTCUSDT,28860.90000000
2023-05-04 23:40:13.678302,ETHUSDT,1875.28000000
2023-05-04 23:40:13.896484,BTCUSDT,28860.90000000
2023-05-04 23:40:14.118870,ETHUSDT,1875.28000000
2023-05-04 23:40:14.334226,BTCUSDT,28860.90000000
2023-05-04 23:40:14.543430,ETHUSDT,1875.28000000
2023-05-04 23:40:14.759638,BTCUSDT,28860.90000000
2023-05-04 23:40:14.973966,ETHUSDT,1875.27000000
2023-05-04 23:40:15.194316,BTCUSDT,28860.90000000
2023-05-04 23:40:15.416342,ETHUSDT,1875.27000000
2023-05-04 23:40:15.619435,BTCUSDT,28860.89000000
2023-05-04 23:40:15.832841,ETHUSDT,1875.28000000
2023-05-04 23:40:16.036248,BTCUSDT,28860.89000000
2023-05-04 23:40:16.260779,ETHUSDT,1875.28000000
2023-05-04 23:40:16.476099,BTCUSDT,28860.90000000
2023-05-04 23:40:16.690335,ETHUSDT,1875.28000000
2023-05-04 23:40:16.911851,BTCUSDT,28860.89000000
2023-05-04 23:40:17.126508,ETHUSDT,1875.28000000
2023-05-04 23:40:17.345369,BTCUSDT,28860.89000000
2023-05-04 23:40:17.564188,ETHUSDT,1875.32000000
2023-05-04 23:40:17.783093,BTCUSDT,28860.90000000
2023-05-04 23:40:17.998273,ETHUSDT,1875.32000000
2023-05-04 23:40:18.207561,BTCUSDT,28860.90000000
2023-05-04 23:40:18.424516,ETHUSDT,1875.43000000
2023-05-04 23:40:18.640413,BTCUSDT,28857.31000000
2023-05-04 23:40:18.862245,ETHUSDT,1875.43000000
2023-05-04 23:40:19.077528,BTCUSDT,28857.09000000
2023-05-04 23:40:19.301896,ETHUSDT,1875.19000000
2023-05-04 23:40:19.523500,BTCUSDT,28855.22000000
2023-05-04 23:40:19.734757,ETHUSDT,1875.19000000
2023-05-04 23:40:19.954792,BTCUSDT,28855.14000000
2023-05-04 23:40:20.178270,ETHUSDT,1875.19000000
2023-05-04 23:40:20.393866,BTCUSDT,28854.94000000
2023-05-04 23:40:20.619916,ETHUSDT,1875.18000000
2023-05-04 23:40:20.834584,BTCUSDT,28854.94000000
2023-05-04 23:40:21.041456,ETHUSDT,1875.18000000
2023-05-04 23:40:21.258656,BTCUSDT,28854.73000000
2023-05-04 23:40:21.470483,ETHUSDT,1875.18000000
2023-05-04 23:40:21.680729,BTCUSDT,28854.71000000
2023-05-04 23:40:21.898533,ETHUSDT,1875.18000000
2023-05-04 23:40:22.111132,BTCUSDT,28854.70000000
2023-05-04 23:40:22.319922,ETHUSDT,1875.18000000
2023-05-04 23:40:22.543937,BTCUSDT,28854.71000000
2023-05-04 23:40:22.757249,ETHUSDT,1875.18000000
2023-05-04 23:40:22.970122,BTCUSDT,28854.71000000
2023-05-04 23:40:23.178217,ETHUSDT,1875.19000000
2023-05-04 23:40:23.394395,BTCUSDT,28854.71000000
2023-05-04 23:40:23.610379,ETHUSDT,1875.19000000
2023-05-04 23:40:23.827350,BTCUSDT,28854.70000000
2023-05-04 23:40:24.046349,ETHUSDT,1875.19000000
2023-05-04 23:40:24.261713,BTCUSDT,28854.70000000
2023-05-04 23:40:24.473908,ETHUSDT,1875.19000000
2023-05-04 23:40:24.691882,BTCUSDT,28854.71000000
2023-05-04 23:40:24.908754,ETHUSDT,1875.19000000
2023-05-04 23:40:25.125016,BTCUSDT,28854.70000000
2023-05-04 23:40:25.339385,ETHUSDT,1875.19000000
2023-05-04 23:40:25.565239,BTCUSDT,28854.70000000
2023-05-04 23:40:25.786141,ETHUSDT,1875.19000000
2023-05-04 23:40:26.005471,BTCUSDT,28854.71000000
2023-05-04 23:40:26.220335,ETHUSDT,1875.19000000
2023-05-04 23:40:26.432927,BTCUSDT,28854.71000000
2023-05-04 23:40:26.651665,ETHUSDT,1875.34000000
2023-05-04 23:40:26.868410,BTCUSDT,28857.59000000
2023-05-04 23:40:27.085638,ETHUSDT,1875.34000000
2023-05-04 23:40:27.288180,BTCUSDT,28857.78000000
2023-05-04 23:40:27.500129,ETHUSDT,1875.37000000
2023-05-04 23:40:27.708122,BTCUSDT,28860.44000000
2023-05-04 23:40:27.912978,ETHUSDT,1875.46000000
2023-05-04 23:40:28.131104,BTCUSDT,28861.58000000
2023-05-04 23:40:28.341890,ETHUSDT,1875.49000000
2023-05-04 23:40:28.561316,BTCUSDT,28863.12000000
2023-05-04 23:40:28.776811,ETHUSDT,1875.49000000
2023-05-04 23:40:28.997592,BTCUSDT,28863.12000000
2023-05-04 23:40:29.219077,ETHUSDT,1875.49000000
2023-05-04 23:40:29.431134,BTCUSDT,28863.12000000
2023-05-04 23:40:29.640778,ETHUSDT,1875.49000000
2023-05-04 23:40:29.848266,BTCUSDT,28863.11000000
2023-05-04 23:40:30.448235,ETHUSDT,1875.52000000
2023-05-04 23:40:30.666602,BTCUSDT,28863.11000000
2023-05-04 23:40:30.871425,ETHUSDT,1875.52000000
2023-05-04 23:40:31.087261,BTCUSDT,28863.11000000
2023-05-04 23:40:31.292682,ETHUSDT,1875.52000000
2023-05-04 23:40:31.502918,BTCUSDT,28863.11000000
2023-05-04 23:40:31.727381,ETHUSDT,1875.52000000
2023-05-04 23:40:31.947503,BTCUSDT,28863.11000000
2023-05-04 23:40:32.162755,ETHUSDT,1875.51000000
